"","orig.ident","nCount_RNA","nFeature_RNA","integrated_snn_res.3.4","seurat_clusters","cl.conserv","cl.HC.LC.split","cl.Ab.split.3","cl.Ab.split.4","diameter","drg_level","drg_location","batch","donor","cl.conserv_final"
"N2-RL5-76","SeuratProject",162265,7255,"0","0","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",64.702486,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-77","SeuratProject",100434,6423,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",47.6998858,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-78","SeuratProject",236591,10358,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",65.52376529,"lumbar","lumbar 5",1,"N2","hPEP.PIEZOh"
"N2-RL5-79","SeuratProject",580356,11986,"12","12","NP3","NP3","NP3","NP3",57.67993574,"lumbar","lumbar 5",1,"N2","hPEP.SST"
"N2-RL5-80","SeuratProject",214823,9127,"0","0","Propr","Propr","Propr","Propr",87.15587905,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-81","SeuratProject",502863,11945,"0","0","Propr","Propr","Propr","Propr",69.95950896,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-82","SeuratProject",159116,6417,"0","0","Propr","Propr","Propr","Propr",71.58763339,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-83","SeuratProject",294264,11555,"0","0","Propr","Propr","Propr","Propr",84.46278051,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-84","SeuratProject",683230,13537,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",76.80441987,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-85","SeuratProject",603529,12291,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",53.17767461,"lumbar","lumbar 5",1,"N2","hPEP.CHRNA7"
"N2-RL5-86","SeuratProject",138248,6149,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",55.34812008,"lumbar","lumbar 5",1,"N2","hPEP.CHRNA7"
"N2-RL5-87","SeuratProject",309224,11595,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",47.04136867,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.2"
"N2-RL5-88","SeuratProject",369745,11479,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",60.98469295,"lumbar","lumbar 5",1,"N2","hPEP.PIEZOh"
"N2-RL5-89","SeuratProject",192728,7677,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",60.76507832,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-90","SeuratProject",378468,11670,"10","10","NP1","NP1","NP1","NP1",43.59984716,"lumbar","lumbar 5",1,"N2","hNP1"
"N2-RL5-91","SeuratProject",259035,10952,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",99.38708446,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-92","SeuratProject",69399,6787,"2","2","Un.Gi","Un.Gi","Un.Gi","Un.Gi",52.84140771,"lumbar","lumbar 5",1,"N2","hATF3"
"N2-RL5-93","SeuratProject",111610,8048,"14","14","PEP3","PEP3","PEP3","PEP3",62.22476614,"lumbar","lumbar 5",1,"N2","hPEP.KIT"
"N2-RL5-94","SeuratProject",502492,12400,"0","0","Propr","Propr","Propr","Propr",73.70829824,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-95","SeuratProject",293238,11780,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",68.10588624,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-96","SeuratProject",165210,8769,"0","0","Propr","Propr","Propr","Propr",93.13743161,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-97","SeuratProject",353236,12448,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",99.92369429,"lumbar","lumbar 5",2,"N2","hPEP.NTRK3"
"N2-RL5-98","SeuratProject",393643,10405,"5","5","Un.Gi","Un.Gi","Un.Gi","Un.Gi",55.88610432,"lumbar","lumbar 5",2,"N2","hATF3"
"N2-RL5-99","SeuratProject",131758,7032,"0","0","Propr","Propr","Propr","Propr",69.00663721,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-100","SeuratProject",239196,10047,"0","0","Propr","Propr","Propr","Propr",68.35780284,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-101","SeuratProject",326941,11406,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",55.90888244,"lumbar","lumbar 5",2,"N2","hPEP.PIEZOh"
"N2-RL5-102","SeuratProject",123711,7996,"0","0","Propr","Propr","Propr","Propr",85.13095566,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-103","SeuratProject",118132,7392,"0","0","Propr","Propr","Propr","Propr",92.3135549,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-104","SeuratProject",150471,7424,"10","10","NP1","NP1","NP1","NP1",54.46694585,"lumbar","lumbar 5",2,"N2","hNP1"
"N2-RL5-105","SeuratProject",338598,10871,"18","18","Un.Gi","Un.Gi","Un.Gi","Un.Gi",69.23689022,"lumbar","lumbar 5",2,"N2","hATF3"
"N2-RL5-106","SeuratProject",173618,8129,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",69.5762663,"lumbar","lumbar 5",2,"N2","hPEP.NTRK3"
"N2-RL5-107","SeuratProject",263335,7302,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",66.94627155,"lumbar","lumbar 5",2,"N2","hAd.LTMR"
"N2-RL5-108","SeuratProject",108067,5976,"3","3","Un.Gi","Un.Gi","Un.Gi","Un.Gi",43.35091233,"lumbar","lumbar 5",2,"N2","hATF3"
"N2-RL5-109","SeuratProject",187194,7697,"0","0","Propr","Propr","Propr","Propr",82.56466943,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-110","SeuratProject",231159,9946,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.7",86.84855319,"lumbar","lumbar 5",2,"N2","hAb.LTMR"
"N2-RL5-112","SeuratProject",200450,7484,"12","12","NP3","NP3","NP3","NP3",56.32861617,"lumbar","lumbar 5",2,"N2","hPEP.SST"
"N2-RL5-113","SeuratProject",143361,7865,"1","1","NP1","NP1","NP1","NP1",52.47873076,"lumbar","lumbar 5",2,"N2","hNP1"
"N2-RL5-114","SeuratProject",363132,11865,"0","0","Propr","Propr","Propr","Propr",62.33720524,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-115","SeuratProject",150356,8320,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",63.97024282,"lumbar","lumbar 5",2,"N2","hAb.LTMR"
"N2-RL5-116","SeuratProject",177922,7414,"0","0","Propr","Propr","Propr","Propr",46.29105951,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-118","SeuratProject",139074,8198,"0","0","Propr","Propr","Propr","Propr",76.43051178,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-120","SeuratProject",152989,7958,"1","1","NP1","NP1","NP1","NP1",47.59299516,"lumbar","lumbar 5",2,"N2","hNP1"
"N2-RL5-121","SeuratProject",117544,8232,"1","1","NP2","NP2","NP2","NP2",54.12692715,"lumbar","lumbar 5",2,"N2","hNP1"
"N2-RL5-122","SeuratProject",391674,12969,"0","0","Propr","Propr","Propr","Propr",86.96575777,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-124","SeuratProject",136829,8873,"0","0","Propr","Propr","Propr","Propr",72.58557244,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-125","SeuratProject",103057,6558,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",53.8439086,"lumbar","lumbar 5",2,"N2","hPEP.0"
"N2-RL5-126","SeuratProject",148420,9255,"0","0","Propr","Propr","Propr","Propr",69.64942748,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-127","SeuratProject",167238,9720,"0","0","Propr","Propr","Propr","Propr",81.89887689,"lumbar","lumbar 5",2,"N2","hPropr"
"N2-RL5-128","SeuratProject",210443,10338,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",92.80875857,"lumbar","lumbar 5",2,"N2","hAb.LTMR"
"N2-RL5-130","SeuratProject",147895,8482,"0","0","Propr","Propr","Propr","Propr",78.52578698,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-131","SeuratProject",95416,7057,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",55.79489887,"lumbar","lumbar 5",3,"N2","hPEP.NTRK3"
"N2-RL5-132","SeuratProject",123495,8736,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",60.58671199,"lumbar","lumbar 5",3,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-135","SeuratProject",101005,7102,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",51.12690906,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-136","SeuratProject",100184,7341,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",57.97717185,"lumbar","lumbar 5",3,"N2","hPEP.CHRNA7"
"N2-RL5-137","SeuratProject",155637,9045,"0","0","Propr","Propr","Propr","Propr",68.16194817,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-139","SeuratProject",94054,8337,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",67.63689646,"lumbar","lumbar 5",3,"N2","hPEP.PIEZOh"
"N2-RL5-140","SeuratProject",73832,6729,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",45.72372872,"lumbar","lumbar 5",3,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-141","SeuratProject",153050,8246,"0","0","Propr","Propr","Propr","Propr",72.17217654,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-143","SeuratProject",214036,10829,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",86.20107952,"lumbar","lumbar 5",3,"N2","hAb.LTMR"
"N2-RL5-144","SeuratProject",121064,8247,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",56.81251888,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-145","SeuratProject",128414,7746,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",76.20528632,"lumbar","lumbar 5",3,"N2","hAd.LTMR"
"N2-RL5-146","SeuratProject",140675,9085,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",61.40083351,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-147","SeuratProject",160273,8765,"0","0","Propr","Propr","Propr","Propr",81.16490323,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-148","SeuratProject",260484,7220,"0","0","Propr","Propr","Propr","Propr",83.76648047,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-149","SeuratProject",317041,11407,"0","0","Propr","Propr","Propr","Propr",74.31042995,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-150","SeuratProject",198669,7352,"0","0","Propr","Propr","Propr","Propr",82.78028356,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-151","SeuratProject",219631,5683,"14","14","PEP3","PEP3","PEP3","PEP3",46.27730492,"lumbar","lumbar 5",3,"N2","hPEP.KIT"
"N2-RL5-152","SeuratProject",429508,12060,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",83.05667927,"lumbar","lumbar 5",3,"N2","hAb.LTMR"
"N2-RL5-153","SeuratProject",102864,4902,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",93.26721138,"lumbar","lumbar 5",3,"N2","hPEP.0"
