"","orig.ident","nCount_RNA","nFeature_RNA","integrated_snn_res.3.4","seurat_clusters","cl.conserv","cl.HC.LC.split","cl.Ab.split.3","cl.Ab.split.4","diameter","drg_level","drg_location","batch","donor","cl.conserv_final"
"N2-RT12-141","SeuratProject",63185,6479,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",62.86601319,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-142","SeuratProject",107586,8578,"1","1","NP1","NP1","NP1","NP1",52.3694379,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-143","SeuratProject",225551,8740,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.7",64.00009129,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-144","SeuratProject",118223,7026,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",57.95520664,"thoracic","thoracic 12",3,"N2","hPEP.CHRNA7"
"N2-RT12-145","SeuratProject",122221,8777,"1","1","NP1","NP1","NP1","NP1",53.79659408,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-146","SeuratProject",258330,10096,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",44.42433261,"thoracic","thoracic 12",3,"N2","hPEP.PIEZOh"
"N2-RT12-147","SeuratProject",120910,8325,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",55.30209253,"thoracic","thoracic 12",3,"N2","hPEP.NTRK3"
"N2-RT12-148","SeuratProject",323464,11221,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",68.49735617,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-149","SeuratProject",1268322,14051,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",65.06551743,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-150","SeuratProject",152642,7474,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",55.99990225,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-151","SeuratProject",138681,7650,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",49.54599766,"thoracic","thoracic 12",3,"N2","hPEP.CHRNA7"
"N2-RT12-152","SeuratProject",149663,6269,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",48.17795896,"thoracic","thoracic 12",3,"N2","hAd.LTMR"
"N2-RT12-153","SeuratProject",127288,8232,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",59.43035047,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-154","SeuratProject",374135,11328,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",55.10604655,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-155","SeuratProject",172009,8822,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",60.14377448,"thoracic","thoracic 12",3,"N2","hPEP.NTRK3"
"N2-RT12-156","SeuratProject",66753,6674,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",49.55884506,"thoracic","thoracic 12",3,"N2","hPEP.NTRK3"
"N2-RT12-158","SeuratProject",86868,7943,"1","1","NP1","NP1","NP1","NP1",60.67071441,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-159","SeuratProject",310380,11599,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",75.43280203,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-160","SeuratProject",221453,10745,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",47.63310726,"thoracic","thoracic 12",3,"N2","hPEP.CHRNA7"
"N2-RT12-161","SeuratProject",229738,10494,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",44.99389859,"thoracic","thoracic 12",3,"N2","hAd.LTMR"
"N2-RT12-162","SeuratProject",165754,10295,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",43.97784558,"thoracic","thoracic 12",3,"N2","hPEP.CHRNA7"
"N2-RT12-163","SeuratProject",142792,8400,"0","0","Propr","Propr","Propr","Propr",48.32309349,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-164","SeuratProject",122193,9815,"10","10","NP1","NP1","NP1","NP1",57.50307082,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-165","SeuratProject",234125,8558,"0","0","Propr","Propr","Propr","Propr",60.23896384,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-166","SeuratProject",155326,6827,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",62.08136731,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-167","SeuratProject",105954,7002,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",58.93553713,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-168","SeuratProject",204607,9960,"0","0","Propr","Propr","Propr","Propr",56.23812837,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-169","SeuratProject",100038,9348,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",71.82733966,"thoracic","thoracic 12",3,"N2","hPEP.NTRK3"
"N2-RT12-170","SeuratProject",175658,11071,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",52.78113462,"thoracic","thoracic 12",3,"N2","hPEP.TRPV1/A1.2"
"N2-RT12-171","SeuratProject",386504,12949,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",71.3917221,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-172","SeuratProject",279488,11372,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",54.66528389,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-173","SeuratProject",245274,11090,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",56.7564631,"thoracic","thoracic 12",3,"N2","hPEP.PIEZOh"
"N2-RT12-174","SeuratProject",221854,10537,"16","16","NP2","NP2","NP2","NP2",47.18999896,"thoracic","thoracic 12",3,"N2","hNP2"
"N2-RT12-175","SeuratProject",161280,8567,"0","0","Propr","Propr","Propr","Propr",62.58182569,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-176","SeuratProject",297781,10865,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",83.94109697,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-177","SeuratProject",127786,9199,"0","0","Propr","Propr","Propr","Propr",60.56569318,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-178","SeuratProject",86223,7709,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",46.7426903,"thoracic","thoracic 12",3,"N2","hAd.LTMR"
"N2-RT12-179","SeuratProject",116050,9389,"16","16","NP2","NP2","NP2","NP2",46.63360569,"thoracic","thoracic 12",3,"N2","hNP2"
"N2-RT12-180","SeuratProject",123117,7541,"0","0","Propr","Propr","Propr","Propr",65.05573241,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-181","SeuratProject",155860,9411,"0","0","Un.Gi","Un.Gi","Un.Gi","Un.Gi",55.10604655,"thoracic","thoracic 12",3,"N2","hATF3"
"N2-RT12-182","SeuratProject",91049,7652,"0","0","Propr","Propr","Propr","Propr",54.3147869,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-183","SeuratProject",125246,8275,"14","14","PEP3","PEP3","PEP3","PEP3",74.29329391,"thoracic","thoracic 12",3,"N2","hPEP.KIT"
"N2-RT12-184","SeuratProject",107712,6322,"12","12","NP3","NP3","NP3","NP3",42.61032295,"thoracic","thoracic 12",3,"N2","hPEP.SST"
"N2-RT12-185","SeuratProject",98746,6606,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",44.0646155,"thoracic","thoracic 12",3,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-186","SeuratProject",126120,7063,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",44.56740652,"thoracic","thoracic 12",3,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-188","SeuratProject",174506,8571,"1","1","NP1","NP1","NP1","NP1",45.00804539,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-189","SeuratProject",243081,5394,"12","12","NP3","NP3","NP3","NP3",45.27599477,"thoracic","thoracic 12",3,"N2","hPEP.SST"
"N2-RT12-190","SeuratProject",164893,7009,"12","12","NP3","NP3","NP3","NP3",44.85218518,"thoracic","thoracic 12",3,"N2","hPEP.SST"
"N2-RT12-191","SeuratProject",168579,9589,"1","1","NP1","NP1","NP1","NP1",48.24398333,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-192","SeuratProject",206329,10627,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",60.08023112,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N3-RL2-1","SeuratProject",51533,6946,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",57.50307082,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-2","SeuratProject",132442,8861,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",56.19282983,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-3","SeuratProject",37384,5498,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",47.85977413,"lumbar","lumbar 2",1,"N3","hPEP.TRPV1/A1.1"
"N3-RL2-4","SeuratProject",64541,6260,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",42.90809263,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-5","SeuratProject",167742,8761,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",47.51266938,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-6","SeuratProject",114407,7532,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",55.63492955,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-7","SeuratProject",139175,8877,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",62.63266803,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-8","SeuratProject",220899,11412,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",79.15561829,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-9","SeuratProject",367254,12511,"12","12","NP3","NP3","NP3","NP3",49.27542849,"lumbar","lumbar 2",1,"N3","hPEP.SST"
"N3-RL2-10","SeuratProject",124530,8444,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",68.27393392,"lumbar","lumbar 2",1,"N3","hAb.LTMR"
"N3-RL2-11","SeuratProject",143215,7495,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",53.28530973,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-12","SeuratProject",39190,6243,"2","2","PEP.H4","PEP.H4","PEP.H4","PEP.H4",52.40589418,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-14","SeuratProject",148536,6986,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",41.82620189,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-15","SeuratProject",219644,7317,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",49.94273031,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-16","SeuratProject",218478,11590,"10","10","NP1","NP1","NP1","NP1",53.12976679,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-17","SeuratProject",101450,7015,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",52.55146639,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-18","SeuratProject",111356,7523,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",48.45465675,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-20","SeuratProject",183493,9066,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",60.43942684,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-21","SeuratProject",37300,4909,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",50.87726446,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-22","SeuratProject",240732,9014,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",65.27066408,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-23","SeuratProject",216251,8571,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",51.8440809,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-25","SeuratProject",238766,9031,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",50.96477917,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-28","SeuratProject",30275,5143,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",42.34053979,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-29","SeuratProject",37948,6334,"16","16","NP2","NP2","NP2","NP2",49.89171627,"lumbar","lumbar 2",1,"N3","hNP2"
"N3-RL2-30","SeuratProject",311250,8830,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",43.18907229,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-31","SeuratProject",111822,8389,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",54.95565714,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-32","SeuratProject",59350,5831,"1","1","NP1","NP1","NP1","NP1",37.50906185,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-33","SeuratProject",45797,6888,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",77.20125913,"lumbar","lumbar 2",1,"N3","hAb.LTMR"
"N3-RL2-34","SeuratProject",94551,7296,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",46.31855643,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-35","SeuratProject",221606,8982,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",50.88977577,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-36","SeuratProject",69608,7124,"1","1","NP1","NP1","NP1","NP1",50.13357063,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-37","SeuratProject",257734,6862,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",45.77938757,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-38","SeuratProject",199330,8042,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",36.89299522,"lumbar","lumbar 2",1,"N3","hPEP.TRPV1/A1.1"
"N3-RL2-39","SeuratProject",179445,8802,"1","1","NP1","NP1","NP1","NP1",52.2964491,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-40","SeuratProject",231616,10045,"1","1","NP1","NP1","NP1","NP1",50.78959895,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-41","SeuratProject",310907,8984,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",47.4053566,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-42","SeuratProject",127856,7851,"1","1","NP1","NP1","NP1","NP1",47.89966283,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-43","SeuratProject",404346,12101,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",78.42844092,"lumbar","lumbar 2",1,"N3","hAb.LTMR"
"N3-RL2-44","SeuratProject",191921,9145,"16","16","NP2","NP2","NP2","NP2",42.71477846,"lumbar","lumbar 2",1,"N3","hNP2"
"N3-RL2-45","SeuratProject",237445,8101,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",49.73836022,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-46","SeuratProject",330751,10260,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",85.42210461,"lumbar","lumbar 2",1,"N3","hAb.LTMR"
"N3-RL2-47","SeuratProject",374018,9507,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",45.00804539,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-48","SeuratProject",227035,7410,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",55.57768606,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-49","SeuratProject",191067,8220,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",52.35728017,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-50","SeuratProject",464733,12438,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",61.53547327,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-51","SeuratProject",124796,6368,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",44.13679346,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-52","SeuratProject",206446,7534,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",44.69578145,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-53","SeuratProject",136181,8019,"1","1","NP1","NP1","NP1","NP1",45.12106012,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-56","SeuratProject",185455,7472,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",47.95279613,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-57","SeuratProject",91002,7782,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",51.27611242,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-58","SeuratProject",83728,7368,"10","10","NP1","NP1","NP1","NP1",48.78201256,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-59","SeuratProject",196822,8936,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",45.72372872,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-60","SeuratProject",203850,8583,"1","1","NP1","NP1","NP1","NP1",45.31815774,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-61","SeuratProject",257801,7534,"2","2","PEP1.3","PEP1.3","PEP1.3","PEP1.3",45.73764978,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-62","SeuratProject",148543,8187,"1","1","NP1","NP1","NP1","NP1",39.20204276,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-63","SeuratProject",368000,10228,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",38.90863458,"lumbar","lumbar 2",1,"N3","hPEP.TRPV1/A1.2"
"N3-RL2-64","SeuratProject",648545,13448,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",53.91480251,"lumbar","lumbar 2",1,"N3","hPEP.PIEZOh"
"N3-RL2-65","SeuratProject",600704,12239,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",46.63360569,"lumbar","lumbar 2",1,"N3","hPEP.PIEZOh"
"N3-RL2-66","SeuratProject",306201,7985,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",60.32345051,"lumbar","lumbar 2",1,"N3","hPEP.0"
"N3-RL2-67","SeuratProject",361025,13266,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",49.36578299,"lumbar","lumbar 2",1,"N3","hPEP.PIEZOh"
"N3-RL2-68","SeuratProject",593785,11957,"0","0","Propr","Propr","Propr","Propr",71.02517274,"lumbar","lumbar 2",1,"N3","hPropr"
"N3-RL2-69","SeuratProject",566717,11255,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",49.17196291,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-70","SeuratProject",333336,9374,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",65.44599225,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-71","SeuratProject",215852,7902,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",39.63808301,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-72","SeuratProject",221963,9487,"0","0","Propr","Propr","Propr","Propr",71.20421303,"lumbar","lumbar 2",1,"N3","hPropr"
"N3-RL2-74","SeuratProject",296814,11202,"10","10","NP1","NP1","NP1","NP1",44.18004363,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-75","SeuratProject",195721,8340,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",45.06458819,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-77","SeuratProject",238539,8508,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",63.32007103,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-78","SeuratProject",324466,12020,"10","10","NP1","NP1","NP1","NP1",50.98975578,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-79","SeuratProject",195556,11128,"10","10","NP1","NP1","NP1","NP1",51.80722928,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-82","SeuratProject",198909,7470,"12","12","NP3","NP3","NP3","NP3",45.57031636,"lumbar","lumbar 2",1,"N3","hPEP.SST"
"N3-RL2-83","SeuratProject",165366,7866,"12","12","NP3","NP3","NP3","NP3",54.3382237,"lumbar","lumbar 2",1,"N3","hPEP.SST"
"N3-RL2-84","SeuratProject",411456,11952,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",43.9488842,"lumbar","lumbar 2",1,"N3","hPEP.TRPV1/A1.2"
"N3-RL2-85","SeuratProject",309385,10601,"10","10","NP1","NP1","NP1","NP1",46.55162448,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-86","SeuratProject",151883,7404,"4","4","PEP.H0","PEP.H0","PEP.H0","PEP.H0",61.61818228,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-87","SeuratProject",222967,8565,"4","4","PEP.H5","PEP.H5","PEP.H5","PEP.H5",56.98035534,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-88","SeuratProject",551529,12750,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",57.0250283,"lumbar","lumbar 2",1,"N3","hAd.LTMR"
"N3-RL2-90","SeuratProject",291225,11397,"10","10","NP1","NP1","NP1","NP1",48.78201256,"lumbar","lumbar 2",1,"N3","hNP1"
"N3-RL2-91","SeuratProject",147735,7952,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",53.20161235,"lumbar","lumbar 2",1,"N3","hPEP.CHRNA7"
"N3-RL2-92","SeuratProject",105492,8306,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",58.45831845,"lumbar","lumbar 2",1,"N3","hPEP.NTRK3"
"N3-RL2-93","SeuratProject",229195,10388,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",55.34812008,"lumbar","lumbar 2",2,"N3","hPEP.PIEZOh"
"N3-RL2-94","SeuratProject",127607,5993,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",34.35539373,"lumbar","lumbar 2",2,"N3","hPEP.TRPV1/A1.1"
"N3-RL2-95","SeuratProject",160992,6861,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",50.70178187,"lumbar","lumbar 2",2,"N3","hPEP.CHRNA7"
"N3-RL2-96","SeuratProject",140430,6955,"14","14","PEP3","PEP3","PEP3","PEP3",50.53828816,"lumbar","lumbar 2",2,"N3","hPEP.KIT"
"N3-RL2-97","SeuratProject",98542,7421,"1","1","NP1","NP1","NP1","NP1",48.79506112,"lumbar","lumbar 2",2,"N3","hNP1"
"N3-RL2-98","SeuratProject",116439,4798,"0","0","Propr","Propr","Propr","Propr",53.52372394,"lumbar","lumbar 2",2,"N3","hPropr"
"N3-RL2-99","SeuratProject",140921,7516,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",52.46659835,"lumbar","lumbar 2",2,"N3","hPEP.CHRNA7"
"N3-RL2-100","SeuratProject",93246,6226,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",52.19897195,"lumbar","lumbar 2",2,"N3","hPEP.0"
"N3-RL2-101","SeuratProject",168669,9011,"0","0","Propr","Propr","Propr","Propr",61.89650923,"lumbar","lumbar 2",2,"N3","hPropr"
"N3-RL2-102","SeuratProject",250847,10646,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",77.94805457,"lumbar","lumbar 2",2,"N3","hPEP.PIEZOh"
"N3-RL2-103","SeuratProject",247820,11897,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",61.93763649,"lumbar","lumbar 2",2,"N3","hPEP.PIEZOh"
"N3-RL2-105","SeuratProject",124775,5431,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",47.80653744,"lumbar","lumbar 2",2,"N3","hPEP.CHRNA7"
"N3-RL2-107","SeuratProject",76894,2692,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",59.80409637,"lumbar","lumbar 2",2,"N3","hPEP.0"
"N3-RL2-108","SeuratProject",102953,4216,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",63.72096184,"lumbar","lumbar 2",2,"N3","hAb.LTMR"
"N3-RL2-109","SeuratProject",134925,7197,"14","14","PEP3","PEP3","PEP3","PEP3",52.41804064,"lumbar","lumbar 2",2,"N3","hPEP.KIT"
"N3-RL2-110","SeuratProject",136633,2832,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",45.82108734,"lumbar","lumbar 2",2,"N3","hPEP.0"
"N3-RL2-111","SeuratProject",204368,8540,"16","16","NP2","NP2","NP2","NP2",41.73477839,"lumbar","lumbar 2",2,"N3","hNP2"
"N3-RL2-113","SeuratProject",193907,4269,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",38.28183304,"lumbar","lumbar 2",2,"N3","hPEP.CHRNA7"
"N3-RL2-114","SeuratProject",172319,8206,"1","1","NP1","NP1","NP1","NP1",40.6059754,"lumbar","lumbar 2",2,"N3","hNP1"
"N3-RL2-115","SeuratProject",141754,6732,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",60.32345051,"lumbar","lumbar 2",2,"N3","hPEP.NTRK3"
"N3-RL2-117","SeuratProject",186829,9994,"18","18","Un.Gi","Un.Gi","Un.Gi","Un.Gi",41.38245059,"lumbar","lumbar 2",2,"N3","hATF3"
"N3-RL2-118","SeuratProject",94487,4460,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",56.27207835,"lumbar","lumbar 2",2,"N3","hPEP.0"
"N3-RL2-119","SeuratProject",109309,6040,"14","14","PEP3","PEP3","PEP3","PEP3",50.81466167,"lumbar","lumbar 2",2,"N3","hPEP.KIT"
"N3-RL2-120","SeuratProject",83634,5600,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",44.30954086,"lumbar","lumbar 2",2,"N3","hPEP.CHRNA7"
