"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron736","pbmc3k",3898,72,"3","3","hSST","hSST","NP"
"Neuron737","pbmc3k",8070,74,"0","0","hNP1","hNP1","NP"
"Neuron738","pbmc3k",6868,75,"15","15","hNP2","hNP2","NP"
"Neuron739","pbmc3k",2490,65,"14","14","hPEP0","hPEP.0","PEP"
"Neuron740","pbmc3k",3616,69,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron741","pbmc3k",3885,64,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron742","pbmc3k",3495,62,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron743","pbmc3k",1261,58,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron744","pbmc3k",9240,62,"12","12","hPropr","hPropr","NF"
"Neuron745","pbmc3k",2581,67,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron746","pbmc3k",1397,49,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron747","pbmc3k",5944,69,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron749","pbmc3k",4735,71,"5","5","hNP1","hNP1","NP"
"Neuron750","pbmc3k",8474,76,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron751","pbmc3k",2925,66,"3","3","hSST","hSST","NP"
"Neuron752","pbmc3k",815,52,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron753","pbmc3k",1757,67,"5","5","hNP1","hNP1","NP"
"Neuron754","pbmc3k",490,45,"14","14","hPEP0","hPEP.0","PEP"
"Neuron755","pbmc3k",7230,84,"15","15","hNP2","hNP2","NP"
"Neuron756","pbmc3k",5935,72,"0","0","hNP1","hNP1","NP"
"Neuron757","pbmc3k",2919,67,"3","3","hSST","hSST","NP"
"Neuron758","pbmc3k",9519,73,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron759","pbmc3k",1644,51,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron760","pbmc3k",6200,72,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron761","pbmc3k",555,48,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron762","pbmc3k",5835,66,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron763","pbmc3k",881,60,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron765","pbmc3k",1214,59,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron766","pbmc3k",11646,74,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron767","pbmc3k",543,52,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron768","pbmc3k",1492,65,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron769","pbmc3k",388,54,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron770","pbmc3k",2980,69,"3","3","hSST","hSST","NP"
"Neuron771","pbmc3k",630,52,"3","3","hSST","hSST","NP"
"Neuron772","pbmc3k",7524,76,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron773","pbmc3k",2633,61,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron774","pbmc3k",2018,61,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron775","pbmc3k",4417,58,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron776","pbmc3k",1831,65,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron777","pbmc3k",10129,74,"0","0","hNP1","hNP1","NP"
"Neuron778","pbmc3k",2484,68,"5","5","hNP1","hNP1","NP"
"Neuron779","pbmc3k",1378,47,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron780","pbmc3k",3727,70,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron781","pbmc3k",1409,59,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron782","pbmc3k",307,42,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron783","pbmc3k",298,32,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron784","pbmc3k",5207,72,"0","0","hNP1","hNP1","NP"
"Neuron785","pbmc3k",813,57,"0","0","hNP1","hNP1","NP"
"Neuron786","pbmc3k",86,23,"12","12","hPropr","hPropr","NF"
"Neuron787","pbmc3k",17283,74,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron788","pbmc3k",1252,62,"5","5","hNP1","hNP1","NP"
"Neuron789","pbmc3k",5805,77,"5","5","hNP1","hNP1","NP"
"Neuron790","pbmc3k",1558,65,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron791","pbmc3k",11472,75,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron792","pbmc3k",3959,72,"5","5","hNP1","hNP1","NP"
"Neuron793","pbmc3k",4837,65,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron794","pbmc3k",2637,54,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron795","pbmc3k",2034,56,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron796","pbmc3k",2213,62,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron797","pbmc3k",506,55,"3","3","hSST","hSST","NP"
"Neuron799","pbmc3k",2546,75,"5","5","hNP1","hNP1","NP"
"Neuron800","pbmc3k",5446,75,"5","5","hNP1","hNP1","NP"
"Neuron801","pbmc3k",7834,73,"0","0","hNP1","hNP1","NP"
"Neuron802","pbmc3k",357,38,"12","12","hPropr","hPropr","NF"
"Neuron803","pbmc3k",248,43,"14","14","hPEP0","hPEP.0","PEP"
"Neuron804","pbmc3k",2088,70,"5","5","hNP1","hNP1","NP"
"Neuron806","pbmc3k",1879,72,"15","15","hNP2","hNP2","NP"
"Neuron807","pbmc3k",861,69,"5","5","hNP1","hNP1","NP"
"Neuron808","pbmc3k",1386,64,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron809","pbmc3k",1130,54,"12","12","hPropr","hPropr","NF"
"Neuron811","pbmc3k",1686,49,"12","12","hPropr","hPropr","NF"
"Neuron812","pbmc3k",8865,67,"12","12","hPropr","hPropr","NF"
"Neuron813","pbmc3k",6336,75,"5","5","hNP1","hNP1","NP"
"Neuron814","pbmc3k",17248,79,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron815","pbmc3k",6802,71,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron816","pbmc3k",7957,77,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron817","pbmc3k",8883,73,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron818","pbmc3k",3534,64,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron820","pbmc3k",5610,66,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron821","pbmc3k",678,62,"14","14","hPEP0","hPEP.0","PEP"
"Neuron822","pbmc3k",7277,79,"15","15","hNP2","hNP2","NP"
"Neuron823","pbmc3k",7707,77,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron824","pbmc3k",5229,71,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron825","pbmc3k",1362,46,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
