"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron1197","pbmc3k",1389,57,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1199","pbmc3k",1839,65,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1200","pbmc3k",467,66,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1201","pbmc3k",175,42,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1202","pbmc3k",2657,68,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron1203","pbmc3k",3560,66,"3","3","hSST","hSST","NP"
"Neuron1204","pbmc3k",3935,72,"0","0","hNP1","hNP1","NP"
"Neuron1205","pbmc3k",10231,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1206","pbmc3k",6255,73,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1207","pbmc3k",1294,56,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1208","pbmc3k",3674,64,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1209","pbmc3k",8865,81,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1210","pbmc3k",1629,66,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron1211","pbmc3k",1067,62,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1212","pbmc3k",6636,76,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1213","pbmc3k",9289,73,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1214","pbmc3k",4320,72,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1215","pbmc3k",7385,71,"0","0","hNP1","hNP1","NP"
"Neuron1217","pbmc3k",3486,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1218","pbmc3k",2194,67,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1219","pbmc3k",9132,83,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1220","pbmc3k",2245,53,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1221","pbmc3k",5300,72,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1222","pbmc3k",165,37,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1223","pbmc3k",995,51,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1224","pbmc3k",1744,68,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1225","pbmc3k",4650,68,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1226","pbmc3k",2841,63,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1227","pbmc3k",5305,64,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1228","pbmc3k",1622,54,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1229","pbmc3k",6417,71,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1230","pbmc3k",5024,71,"15","15","hNP2","hNP2","NP"
"Neuron1231","pbmc3k",5347,69,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1232","pbmc3k",4110,67,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1233","pbmc3k",3666,69,"3","3","hSST","hSST","NP"
"Neuron1234","pbmc3k",1636,62,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1235","pbmc3k",7268,71,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1236","pbmc3k",5590,73,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1237","pbmc3k",4917,69,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1238","pbmc3k",5296,71,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1239","pbmc3k",6668,76,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1240","pbmc3k",522,57,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1241","pbmc3k",6184,71,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1242","pbmc3k",493,52,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1244","pbmc3k",2792,58,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1246","pbmc3k",1162,62,"0","0","hNP1","hNP1","NP"
"Neuron1247","pbmc3k",16564,71,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1248","pbmc3k",6508,70,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1249","pbmc3k",4546,72,"3","3","hSST","hSST","NP"
"Neuron1250","pbmc3k",4802,71,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1251","pbmc3k",6320,72,"0","0","hNP1","hNP1","NP"
"Neuron1252","pbmc3k",1819,55,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1253","pbmc3k",874,51,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1254","pbmc3k",3172,67,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1255","pbmc3k",5673,58,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1256","pbmc3k",6913,75,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1257","pbmc3k",7011,75,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1258","pbmc3k",5064,70,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1259","pbmc3k",1977,54,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1260","pbmc3k",706,55,"15","15","hNP2","hNP2","NP"
"Neuron1262","pbmc3k",7019,71,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1263","pbmc3k",4761,70,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron1264","pbmc3k",5175,68,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1265","pbmc3k",19755,73,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1266","pbmc3k",7845,76,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1267","pbmc3k",8661,78,"0","0","hNP1","hNP1","NP"
"Neuron1268","pbmc3k",7733,73,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1269","pbmc3k",11294,72,"8","8","hAb.LTMR","hATF3","NF"
"Neuron1271","pbmc3k",6079,73,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1272","pbmc3k",1338,53,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron1273","pbmc3k",669,50,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1274","pbmc3k",2746,55,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1275","pbmc3k",7270,74,"0","0","hNP1","hNP1","NP"
"Neuron1276","pbmc3k",5125,83,"5","5","hNP1","hNP1","NP"
"Neuron1278","pbmc3k",4055,79,"5","5","hNP1","hNP1","NP"
"Neuron1279","pbmc3k",8262,79,"0","0","hNP1","hNP1","NP"
"Neuron1280","pbmc3k",5520,60,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1281","pbmc3k",7429,78,"3","3","hSST","hSST","NP"
"Neuron1282","pbmc3k",312,48,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1283","pbmc3k",9132,75,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1284","pbmc3k",5358,71,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1285","pbmc3k",3312,69,"15","15","hNP2","hNP2","NP"
"Neuron1286","pbmc3k",6136,74,"3","3","hSST","hSST","NP"
"Neuron1287","pbmc3k",725,59,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1288","pbmc3k",11519,84,"5","5","hNP1","hNP1","NP"
"Neuron1289","pbmc3k",634,60,"3","3","hSST","hSST","NP"
"Neuron1290","pbmc3k",10897,77,"0","0","hNP1","hNP1","NP"
"Neuron1291","pbmc3k",11233,74,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1292","pbmc3k",1413,57,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1293","pbmc3k",1301,59,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1294","pbmc3k",7729,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1295","pbmc3k",7299,74,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1296","pbmc3k",6843,76,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1297","pbmc3k",5309,81,"15","15","hNP2","hNP2","NP"
"Neuron1298","pbmc3k",16298,76,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1299","pbmc3k",1332,56,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1301","pbmc3k",9138,72,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1302","pbmc3k",11642,76,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1303","pbmc3k",1408,64,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1304","pbmc3k",3923,76,"5","5","hNP1","hNP1","NP"
"Neuron1305","pbmc3k",10264,76,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1306","pbmc3k",5240,72,"0","0","hNP1","hNP1","NP"
"Neuron1307","pbmc3k",3259,68,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1308","pbmc3k",2535,63,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1309","pbmc3k",2928,71,"5","5","hNP1","hNP1","NP"
"Neuron1310","pbmc3k",2808,69,"12","12","hPropr","hPropr","NF"
"Neuron1311","pbmc3k",2046,65,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1312","pbmc3k",12754,77,"8","8","hAb.LTMR","hATF3","NF"
"Neuron1313","pbmc3k",4666,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1314","pbmc3k",1668,60,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1315","pbmc3k",6584,79,"3","3","hSST","hSST","NP"
"Neuron1316","pbmc3k",1719,60,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1317","pbmc3k",5465,69,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1318","pbmc3k",15658,82,"5","5","hNP1","hNP1","NP"
"Neuron1319","pbmc3k",10839,76,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1320","pbmc3k",8551,71,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1321","pbmc3k",5166,70,"0","0","hNP1","hNP1","NP"
"Neuron1322","pbmc3k",6580,65,"12","12","hPropr","hPropr","NF"
"Neuron1323","pbmc3k",1464,64,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1324","pbmc3k",7428,78,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1325","pbmc3k",11546,73,"12","12","hPropr","hPropr","NF"
"Neuron1326","pbmc3k",14757,80,"12","12","hPropr","hPropr","NF"
"Neuron1327","pbmc3k",11756,70,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1328","pbmc3k",7517,67,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1329","pbmc3k",21419,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1330","pbmc3k",5155,67,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1331","pbmc3k",7269,70,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1332","pbmc3k",21596,77,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1333","pbmc3k",760,61,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1334","pbmc3k",10518,78,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1335","pbmc3k",8080,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1336","pbmc3k",8531,69,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1337","pbmc3k",10848,82,"5","5","hNP1","hNP1","NP"
"Neuron1338","pbmc3k",2380,67,"0","0","hNP1","hNP1","NP"
"Neuron1339","pbmc3k",2766,66,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1340","pbmc3k",4487,66,"12","12","hPropr","hPropr","NF"
"Neuron1342","pbmc3k",7449,71,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1343","pbmc3k",1998,58,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1344","pbmc3k",5662,72,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1345","pbmc3k",1793,49,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1346","pbmc3k",7932,70,"0","0","hNP1","hNP1","NP"
"Neuron1347","pbmc3k",6284,72,"0","0","hNP1","hNP1","NP"
"Neuron1348","pbmc3k",3942,73,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1349","pbmc3k",6561,61,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1351","pbmc3k",6615,76,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1352","pbmc3k",2741,73,"15","15","hNP2","hNP2","NP"
"Neuron1353","pbmc3k",873,55,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1354","pbmc3k",2711,63,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1355","pbmc3k",10608,70,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1356","pbmc3k",133,40,"3","3","hSST","hSST","NP"
"Neuron1357","pbmc3k",3504,63,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1358","pbmc3k",1880,61,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1359","pbmc3k",8580,73,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1360","pbmc3k",9019,71,"8","8","hAb.LTMR","hATF3","NF"
"Neuron1361","pbmc3k",6193,68,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1362","pbmc3k",9142,80,"5","5","hNP1","hNP1","NP"
"Neuron1363","pbmc3k",8217,74,"0","0","hNP1","hNP1","NP"
"Neuron1364","pbmc3k",5857,74,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1365","pbmc3k",8424,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1366","pbmc3k",2143,59,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1367","pbmc3k",11956,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1369","pbmc3k",1222,60,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1370","pbmc3k",2543,53,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1371","pbmc3k",6084,72,"5","5","hNP1","hC.LTMR","NP"
"Neuron1372","pbmc3k",2993,72,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1373","pbmc3k",9828,78,"3","3","hSST","hSST","NP"
"Neuron1374","pbmc3k",5908,74,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1375","pbmc3k",3087,64,"5","5","hNP1","hC.LTMR","NP"
"Neuron1376","pbmc3k",3825,76,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1377","pbmc3k",3601,62,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1379","pbmc3k",3341,64,"5","5","hNP1","hC.LTMR","NP"
"Neuron1380","pbmc3k",5630,67,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1381","pbmc3k",4352,67,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron1382","pbmc3k",922,47,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1383","pbmc3k",11952,78,"0","0","hNP1","hNP1","NP"
"Neuron1384","pbmc3k",13549,75,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1385","pbmc3k",1839,68,"14","14","hPEP0","hPEP.0","PEP"
"Neuron1386","pbmc3k",4011,70,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1387","pbmc3k",1784,56,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1388","pbmc3k",1334,58,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1389","pbmc3k",5320,70,"0","0","hNP1","hNP1","NP"
"Neuron1390","pbmc3k",6641,70,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1393","pbmc3k",13541,77,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron1394","pbmc3k",8871,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron1396","pbmc3k",4985,70,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron1397","pbmc3k",2056,52,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1400","pbmc3k",3009,67,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron1401","pbmc3k",5756,62,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1403","pbmc3k",4267,59,"12","12","hPropr","hPropr","NF"
"Neuron1404","pbmc3k",6139,63,"12","12","hPropr","hPropr","NF"
"Neuron1405","pbmc3k",5625,61,"12","12","hPropr","hPropr","NF"
"Neuron1406","pbmc3k",18743,71,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1407","pbmc3k",18815,76,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1408","pbmc3k",19800,73,"8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron1409","pbmc3k",4992,63,"12","12","hPropr","hPropr","NF"
"Neuron1411","pbmc3k",4110,60,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron1412","pbmc3k",7552,65,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron1413","pbmc3k",6599,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron1414","pbmc3k",1453,59,"12","12","hPropr","hPropr","NF"
"Neuron1415","pbmc3k",7918,71,"12","12","hPropr","hPropr","NF"
