"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron109","pbmc3k",9137,71,"14569-09529","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron110","pbmc3k",1865,52,"14425-09734","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron111","pbmc3k",1768,66,"14317-09869","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron112","pbmc3k",2034,68,"14218-10234","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron113","pbmc3k",3977,65,"13993-10305","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron114","pbmc3k",1638,53,"13971-10137","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron115","pbmc3k",5307,73,"13884-10616","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron116","pbmc3k",5032,68,"13826-09830","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron117","pbmc3k",8006,82,"13624-10042","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron118","pbmc3k",1378,58,"13538-10230","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron119","pbmc3k",2309,63,"14310-08778","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hC.LTMR","C.LTMR"
"Neuron120","pbmc3k",1001,59,"14072-08829","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron121","pbmc3k",434,53,"14175-08638","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron122","pbmc3k",10194,73,"13755-09219","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron123","pbmc3k",1192,59,"13728-09461","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron124","pbmc3k",5298,71,"13737-07899","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron125","pbmc3k",5070,71,"13751-08124","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron126","pbmc3k",3009,60,"13513-08021","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hC.LTMR","NP"
"Neuron127","pbmc3k",2040,65,"13423-08176","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron128","pbmc3k",4136,66,"13279-08353","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron129","pbmc3k",1058,50,"13037-09534","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron130","pbmc3k",1704,54,"14374-04262","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron131","pbmc3k",8170,70,"14312-03992","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron132","pbmc3k",3271,63,"14008-03645","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron133","pbmc3k",243,42,"13810-04010","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron134","pbmc3k",198,39,"13814-03448","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron135","pbmc3k",3378,61,"13484-03636","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron136","pbmc3k",5308,69,"13404-04013","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron137","pbmc3k",446,50,"13570-04185","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron138","pbmc3k",6048,72,"12830-03968","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
