"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron746","pbmc3k",1397,49,"01502-17107","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron747","pbmc3k",5944,69,"01701-17112","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron748","pbmc3k",161,32,"01776-17042","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron749","pbmc3k",4735,71,"01627-16805","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron750","pbmc3k",8474,76,"02064-16921","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron751","pbmc3k",2925,66,"02463-17046","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron752","pbmc3k",815,52,"02457-16757","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron753","pbmc3k",1757,67,"01994-16470","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron754","pbmc3k",490,45,"02114-16171","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron755","pbmc3k",7230,84,"02588-16501","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron756","pbmc3k",5935,72,"02469-16179","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron757","pbmc3k",2919,67,"02568-16032","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron758","pbmc3k",9519,73,"02391-15749","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron759","pbmc3k",1644,51,"02602-15578","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron760","pbmc3k",6200,72,"02901-15385","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron761","pbmc3k",555,48,"02738-15540","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron762","pbmc3k",5835,66,"02938-15178","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron763","pbmc3k",881,60,"03196-15292","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron764","pbmc3k",421,54,"03218-15483","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron765","pbmc3k",1214,59,"03114-15715","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron766","pbmc3k",11646,74,"02994-16091","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron767","pbmc3k",543,52,"02957-15968","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron768","pbmc3k",1492,65,"01539-15945","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron769","pbmc3k",388,54,"01689-15849","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron770","pbmc3k",2980,69,"01649-15666","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron771","pbmc3k",630,52,"01724-15507","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron772","pbmc3k",7524,76,"01575-15383","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron773","pbmc3k",2633,61,"01700-14584","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron774","pbmc3k",2018,61,"01832-14423","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron775","pbmc3k",4417,58,"01790-14199","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron776","pbmc3k",1831,65,"02524-15093","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron777","pbmc3k",10129,74,"02768-14336","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron778","pbmc3k",2484,68,"02448-14133","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron779","pbmc3k",1378,47,"02647-13233","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron780","pbmc3k",3727,70,"02723-13338","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron781","pbmc3k",1409,59,"02836-13367","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron782","pbmc3k",307,42,"02792-13224","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron783","pbmc3k",298,32,"02867-13170","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron784","pbmc3k",5207,72,"02500-12843","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron785","pbmc3k",813,57,"02946-12486","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron786","pbmc3k",86,23,"02877-12673","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron787","pbmc3k",17283,74,"03130-13186","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron788","pbmc3k",1252,62,"03215-13428","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron789","pbmc3k",5805,77,"03065-13547","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron790","pbmc3k",1558,65,"03102-12965","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron791","pbmc3k",11472,75,"03374-12662","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron792","pbmc3k",3959,72,"03447-12228","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron793","pbmc3k",4837,65,"03626-12334","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron794","pbmc3k",2637,54,"03776-11977","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron795","pbmc3k",2034,56,"03725-11433","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron796","pbmc3k",2213,62,"03541-11599","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron797","pbmc3k",506,55,"03495-11772","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron798","pbmc3k",573,51,"04280-11450","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron799","pbmc3k",2546,75,"04363-11909","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron800","pbmc3k",5446,75,"04109-13031","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron801","pbmc3k",7834,73,"03969-13063","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron802","pbmc3k",357,38,"04366-13211","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron803","pbmc3k",248,43,"04332-13646","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron804","pbmc3k",2088,70,"03767-13774","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron805","pbmc3k",1873,68,"03741-13491","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron806","pbmc3k",1879,72,"03560-13821","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron807","pbmc3k",861,69,"03528-14897","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron808","pbmc3k",1386,64,"03386-14794","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron809","pbmc3k",1130,54,"04743-13240","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron810","pbmc3k",1454,58,"04896-13203","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron811","pbmc3k",1686,49,"04978-13273","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron812","pbmc3k",8865,67,"XETG00171__0018220_DRG-Region_3_RoiSet_real_size.zip","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron813","pbmc3k",6336,75,"13988-03626","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron814","pbmc3k",17248,79,"06889-05762","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron815","pbmc3k",6802,71,"07036-05384","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron816","pbmc3k",7957,77,"06585-05252","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron817","pbmc3k",8883,73,"06446-04916","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron818","pbmc3k",3534,64,"06232-05484","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron819","pbmc3k",5289,63,"06264-05831","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron820","pbmc3k",5610,66,"06404-06125","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron821","pbmc3k",678,62,"06244-06346","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron822","pbmc3k",7277,79,"05871-04951","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron823","pbmc3k",7707,77,"06034-04751","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron824","pbmc3k",5229,71,"05193-04490","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron825","pbmc3k",1362,46,"05055-04428","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron826","pbmc3k",5653,80,"04745-04110","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron827","pbmc3k",10945,72,"05643-05218","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron828","pbmc3k",3603,55,"05430-05070","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron829","pbmc3k",10386,73,"05274-05312","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron830","pbmc3k",5629,69,"05085-05065","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron831","pbmc3k",9423,74,"05742-05502","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron832","pbmc3k",14569,76,"05664-05897","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron833","pbmc3k",6509,56,"05401-06360","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron834","pbmc3k",8952,74,"05033-05755","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron835","pbmc3k",3620,63,"04877-05667","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron836","pbmc3k",4179,61,"04813-06081","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron837","pbmc3k",11152,75,"04649-05871","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron838","pbmc3k",3425,68,"04443-05719","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron839","pbmc3k",2998,74,"04311-05506","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron840","pbmc3k",4417,64,"04146-05526","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron841","pbmc3k",4134,72,"03951-05959","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron842","pbmc3k",2580,59,"04154-06038","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron843","pbmc3k",2415,68,"04030-06095","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron844","pbmc3k",6824,71,"03624-05587","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron845","pbmc3k",3447,61,"03806-05503","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron846","pbmc3k",851,54,"03744-06062","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","5","5","hNP1","hC.LTMR","C.LTMR"
"Neuron847","pbmc3k",3555,69,"03552-05874","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron848","pbmc3k",5509,78,"03306-05350","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron849","pbmc3k",3202,77,"03295-05737","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron850","pbmc3k",6029,82,"03159-05897","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron851","pbmc3k",6133,72,"02870-05390","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron852","pbmc3k",3047,63,"03028-05474","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron853","pbmc3k",1050,60,"03036-05309","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron854","pbmc3k",6138,70,"02629-05597","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron855","pbmc3k",1848,65,"02473-05310","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron856","pbmc3k",1665,68,"02629-05220","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron857","pbmc3k",443,44,"02094-05376","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron858","pbmc3k",3870,76,"02397-06029","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron859","pbmc3k",3003,60,"02600-06073","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron860","pbmc3k",4784,73,"02811-05794","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron861","pbmc3k",5380,72,"03387-06365","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron862","pbmc3k",5151,61,"02702-06899","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron863","pbmc3k",938,50,"01917-06879","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron864","pbmc3k",860,57,"01675-06793","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron865","pbmc3k",5267,60,"02996-07255","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron866","pbmc3k",393,47,"02790-07377","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron867","pbmc3k",1386,59,"02375-07992","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron868","pbmc3k",9724,65,"03476-07593","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron869","pbmc3k",13278,68,"03905-07037","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron870","pbmc3k",1086,60,"04146-06498","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron871","pbmc3k",6724,78,"04413-06719","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron872","pbmc3k",5856,76,"04548-06906","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron873","pbmc3k",5155,66,"03948-07623","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron874","pbmc3k",13961,72,"04048-07969","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron875","pbmc3k",4780,70,"04294-08095","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron876","pbmc3k",11519,73,"04787-07780","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron877","pbmc3k",7014,67,"04580-08091","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron878","pbmc3k",9199,67,"04593-08561","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron879","pbmc3k",9555,73,"05520-07388","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron880","pbmc3k",8350,74,"05874-07182","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron881","pbmc3k",6762,74,"05735-06716","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron882","pbmc3k",8377,69,"06248-06862","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron883","pbmc3k",10053,66,"06461-06601","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron884","pbmc3k",5759,66,"06537-06916","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron885","pbmc3k",5744,70,"06812-06652","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron886","pbmc3k",6324,67,"07195-06586","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron887","pbmc3k",9467,76,"07645-06297","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron888","pbmc3k",4006,68,"07665-06021","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron889","pbmc3k",11838,73,"08234-07831","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron890","pbmc3k",9290,81,"07814-07492","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron891","pbmc3k",8721,74,"07430-07300","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron892","pbmc3k",1855,58,"06823-07013","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron893","pbmc3k",485,52,"07120-07192","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron894","pbmc3k",850,56,"08022-08316","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron895","pbmc3k",9043,68,"05955-07495","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron896","pbmc3k",3215,51,"06307-07611","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron897","pbmc3k",3007,54,"06193-07710","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron898","pbmc3k",5222,66,"06127-08087","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron899","pbmc3k",460,42,"06430-08201","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron900","pbmc3k",3980,59,"05712-07960","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron901","pbmc3k",4394,59,"06627-08895","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron902","pbmc3k",3459,67,"06637-09081","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron903","pbmc3k",716,53,"06700-09181","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron904","pbmc3k",9807,81,"06859-09143","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron905","pbmc3k",7106,77,"06893-09639","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron906","pbmc3k",1657,64,"07127-09879","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron907","pbmc3k",2907,71,"07177-10053","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron908","pbmc3k",672,50,"07281-10018","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron909","pbmc3k",4355,69,"07306-10207","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","3","3","hSST","hSST","NP"
"Neuron910","pbmc3k",1648,53,"07275-10449","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron911","pbmc3k",3079,66,"06710-10401","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron912","pbmc3k",1857,60,"06829-10500","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron913","pbmc3k",5021,70,"07379-10591","N4","T12","output-XETG00171__0018220__Region_3__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
