,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
N3-RL2-155,SeuratProject,158737,8244,6,N3,3,lumbar 2,lumbar,PEP.H5,N3-RL2-155
N3-RL2-156,SeuratProject,389526,12164,5,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-156
N3-RL2-157,SeuratProject,114864,6991,9,N3,3,lumbar 2,lumbar,PEP1.13,N3-RL2-157
N3-RL2-158,SeuratProject,120631,5036,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-158
N3-RL2-159,SeuratProject,107256,5668,1,N3,3,lumbar 2,lumbar,NP1,N3-RL2-159
N3-RL2-160,SeuratProject,141783,5041,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-160
N3-RL2-161,SeuratProject,165993,6124,6,N3,3,lumbar 2,lumbar,PEP.H5,N3-RL2-161
N3-RL2-162,SeuratProject,153170,5070,3,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-162
N3-RL2-163,SeuratProject,144477,4313,3,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-163
N3-RL2-164,SeuratProject,181281,6309,5,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-164
N3-RL2-165,SeuratProject,163186,6348,11,N3,3,lumbar 2,lumbar,Ad.LTMR,N3-RL2-165
N3-RL2-166,SeuratProject,259553,9223,11,N3,3,lumbar 2,lumbar,Ad.LTMR,N3-RL2-166
N3-RL2-167,SeuratProject,194477,6460,14,N3,3,lumbar 2,lumbar,PEP3,N3-RL2-167
N3-RL2-168,SeuratProject,339202,10236,7,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-168
N3-RL2-169,SeuratProject,276226,11320,10,N3,3,lumbar 2,lumbar,NP1,N3-RL2-169
N3-RL2-170,SeuratProject,175060,6997,11,N3,3,lumbar 2,lumbar,Ad.LTMR,N3-RL2-170
N3-RL2-171,SeuratProject,283270,9988,9,N3,3,lumbar 2,lumbar,TRPM8,N3-RL2-171
N3-RL2-172,SeuratProject,276519,5791,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-172
N3-RL2-173,SeuratProject,155474,8110,14,N3,3,lumbar 2,lumbar,PEP3,N3-RL2-173
N3-RL2-174,SeuratProject,126173,4894,3,N3,3,lumbar 2,lumbar,TRPM8,N3-RL2-174
N3-RL2-175,SeuratProject,119514,6680,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-175
N3-RL2-176,SeuratProject,128368,8702,10,N3,3,lumbar 2,lumbar,NP1,N3-RL2-176
N3-RL2-177,SeuratProject,132447,6367,1,N3,3,lumbar 2,lumbar,NP1,N3-RL2-177
N3-RL2-178,SeuratProject,103453,5997,9,N3,3,lumbar 2,lumbar,PEP1.13,N3-RL2-178
N3-RL2-179,SeuratProject,246991,10572,15,N3,3,lumbar 2,lumbar,PEP.H4.15,N3-RL2-179
N3-RL2-180,SeuratProject,201650,8171,4,N3,3,lumbar 2,lumbar,PEP.H8,N3-RL2-180
N3-RL2-181,SeuratProject,154716,5890,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-181
N3-RL2-182,SeuratProject,331765,9336,8,N3,3,lumbar 2,lumbar,PEP.H4,N3-RL2-182
N3-RL2-183,SeuratProject,123619,5413,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-183
N3-RL2-184,SeuratProject,166802,9118,10,N3,3,lumbar 2,lumbar,NP1,N3-RL2-184
N3-RL2-185,SeuratProject,183830,7479,18,N3,3,lumbar 2,lumbar,Un.Gi,N3-RL2-185
N3-RL2-186,SeuratProject,320539,10625,8,N3,3,lumbar 2,lumbar,PEP.H4,N3-RL2-186
N3-RL2-187,SeuratProject,239187,11267,10,N3,3,lumbar 2,lumbar,NP1,N3-RL2-187
N3-RL2-188,SeuratProject,533334,13270,5,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-188
N3-RT11-1,SeuratProject,135278,8044,6,N3,1,thoracic 11,thoracic,PEP.H5,N3-RT11-1
N3-RT11-2,SeuratProject,92979,8743,10,N3,1,thoracic 11,thoracic,NP1,N3-RT11-2
N3-RT11-3,SeuratProject,121469,7809,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-3
N3-RT11-4,SeuratProject,106317,8217,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-4
N3-RT11-5,SeuratProject,126223,7776,7,N3,1,thoracic 11,thoracic,Un.Gi,N3-RT11-5
N3-RT11-6,SeuratProject,121695,6482,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-6
N3-RT11-7,SeuratProject,111132,7652,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-7
N3-RT11-8,SeuratProject,149793,8052,12,N3,1,thoracic 11,thoracic,NP3,N3-RT11-8
N3-RT11-9,SeuratProject,105490,6308,12,N3,1,thoracic 11,thoracic,NP3,N3-RT11-9
N3-RT11-10,SeuratProject,86433,6373,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-10
N3-RT11-11,SeuratProject,92611,6745,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-11
N3-RT11-12,SeuratProject,145973,7141,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-12
N3-RT11-13,SeuratProject,111016,5324,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-13
N3-RT11-14,SeuratProject,137416,9905,3,N3,1,thoracic 11,thoracic,PEP.H0,N3-RT11-14
N3-RT11-15,SeuratProject,196142,9415,9,N3,1,thoracic 11,thoracic,PEP1.13,N3-RT11-15
N3-RT11-16,SeuratProject,105848,7059,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-16
N3-RT11-17,SeuratProject,414058,12365,5,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-17
N3-RT11-18,SeuratProject,68755,6398,2,N3,1,thoracic 11,thoracic,PEP.H0,N3-RT11-18
N3-RT11-19,SeuratProject,148350,8414,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-19
N3-RT11-20,SeuratProject,85495,6786,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-20
N3-RT11-21,SeuratProject,100191,7518,12,N3,1,thoracic 11,thoracic,NP3,N3-RT11-21
N3-RT11-22,SeuratProject,73644,7277,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-22
N3-RT11-24,SeuratProject,94005,6539,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-24
N3-RT11-25,SeuratProject,114211,7387,6,N3,1,thoracic 11,thoracic,PEP.H5,N3-RT11-25
N3-RT11-26,SeuratProject,89335,5742,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-26
N3-RT11-27,SeuratProject,102428,7304,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-27
N3-RT11-28,SeuratProject,86935,5921,6,N3,1,thoracic 11,thoracic,PEP.H5,N3-RT11-28
N3-RT11-29,SeuratProject,267218,10739,13,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-29
N3-RT11-30,SeuratProject,77063,6706,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-30
N3-RT11-31,SeuratProject,240038,10414,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-31
N3-RT11-32,SeuratProject,100872,6932,9,N3,1,thoracic 11,thoracic,PEP1.13,N3-RT11-32
N3-RT11-33,SeuratProject,47032,6338,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-33
N3-RT11-34,SeuratProject,87375,7167,6,N3,1,thoracic 11,thoracic,PEP.H5,N3-RT11-34
N3-RT11-35,SeuratProject,64207,5697,6,N3,1,thoracic 11,thoracic,PEP.H5,N3-RT11-35
N3-RT11-36,SeuratProject,118253,6168,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-36
N3-RT11-37,SeuratProject,117603,7956,5,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-37
N3-RT11-38,SeuratProject,64904,5350,6,N3,1,thoracic 11,thoracic,PEP.H5,N3-RT11-38
N3-RT11-39,SeuratProject,62713,5824,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-39
N3-RT11-40,SeuratProject,102816,7605,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-40
N3-RT11-41,SeuratProject,101520,7230,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-41
N3-RT11-42,SeuratProject,155166,5495,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-42
N3-RT11-43,SeuratProject,104226,7513,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-43
N3-RT11-44,SeuratProject,168922,10245,13,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-44
N3-RT11-45,SeuratProject,63855,6743,16,N3,1,thoracic 11,thoracic,NP2,N3-RT11-45
N3-RT11-46,SeuratProject,67919,7505,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-46
N3-RT11-47,SeuratProject,156020,8578,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-47
N3-RT11-48,SeuratProject,308534,10950,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-48
N3-RT11-49,SeuratProject,101057,8561,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-49
N3-RT11-50,SeuratProject,70425,6164,12,N3,1,thoracic 11,thoracic,NP3,N3-RT11-50
N3-RT11-51,SeuratProject,74395,7173,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-51
N3-RT11-52,SeuratProject,76975,6614,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-52
N3-RT11-54,SeuratProject,84541,6761,9,N3,1,thoracic 11,thoracic,PEP1.13,N3-RT11-54
N3-RT11-56,SeuratProject,290605,11520,8,N3,1,thoracic 11,thoracic,PEP.H4,N3-RT11-56
N3-RT11-57,SeuratProject,131897,9746,13,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-57
N3-RT11-58,SeuratProject,120041,6952,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-58
N3-RT11-59,SeuratProject,246128,11324,18,N3,1,thoracic 11,thoracic,Un.Gi,N3-RT11-59
N3-RT11-60,SeuratProject,100141,6760,12,N3,1,thoracic 11,thoracic,NP3,N3-RT11-60
N3-RT11-61,SeuratProject,235973,10870,8,N3,1,thoracic 11,thoracic,PEP.H4,N3-RT11-61
N3-RT11-62,SeuratProject,114222,5514,2,N3,1,thoracic 11,thoracic,PEP.H0,N3-RT11-62
N3-RT11-63,SeuratProject,140859,5895,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-63
N3-RT11-64,SeuratProject,150867,6437,12,N3,1,thoracic 11,thoracic,NP3,N3-RT11-64
N3-RT11-66,SeuratProject,103114,4988,3,N3,1,thoracic 11,thoracic,PEP.H0,N3-RT11-66
N3-RT11-67,SeuratProject,133687,7680,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-67
N3-RT11-68,SeuratProject,89812,6846,12,N3,1,thoracic 11,thoracic,NP3,N3-RT11-68
N3-RT11-70,SeuratProject,76178,6307,2,N3,1,thoracic 11,thoracic,PEP.H0,N3-RT11-70
N3-RT11-71,SeuratProject,57875,6687,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-71
N3-RT11-72,SeuratProject,123415,7581,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-72
N3-RT11-73,SeuratProject,84906,7461,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-73
N3-RT11-74,SeuratProject,65352,7134,16,N3,1,thoracic 11,thoracic,NP2,N3-RT11-74
N3-RT11-76,SeuratProject,148969,9660,13,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-76
N3-RT11-77,SeuratProject,112986,9037,6,N3,1,thoracic 11,thoracic,PEP.H5,N3-RT11-77
N3-RT11-78,SeuratProject,138375,8121,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-78
N3-RT11-79,SeuratProject,6660,2642,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-79
N3-RT11-80,SeuratProject,80192,6061,7,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-80
N3-RT11-81,SeuratProject,8551,3024,3,N3,1,thoracic 11,thoracic,PEP.H0,N3-RT11-81
N3-RT11-82,SeuratProject,89266,6892,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-82
N3-RT11-83,SeuratProject,75620,8152,10,N3,1,thoracic 11,thoracic,NP1,N3-RT11-83
N3-RT11-84,SeuratProject,90636,6399,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-84
N3-RT11-85,SeuratProject,156451,9759,5,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-85
N3-RT11-86,SeuratProject,189770,9088,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-86
N3-RT11-87,SeuratProject,104764,6939,2,N3,1,thoracic 11,thoracic,PEP.H0,N3-RT11-87
N3-RT11-88,SeuratProject,562558,11778,0,N3,1,thoracic 11,thoracic,Propr,N3-RT11-88
N3-RT11-89,SeuratProject,129289,7011,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-89
N3-RT11-90,SeuratProject,150885,7084,11,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-90
N3-RT11-92,SeuratProject,120165,8782,10,N3,1,thoracic 11,thoracic,NP1,N3-RT11-92
N3-RT11-93,SeuratProject,125671,7025,4,N3,1,thoracic 11,thoracic,PEP.H8,N3-RT11-93
N3-RT11-94,SeuratProject,68264,7446,1,N3,1,thoracic 11,thoracic,NP1,N3-RT11-94
N3-RT11-95,SeuratProject,206640,7152,3,N3,1,thoracic 11,thoracic,Ab.LTMR,N3-RT11-95
N3-RT11-96,SeuratProject,335023,12151,13,N3,1,thoracic 11,thoracic,Ad.LTMR,N3-RT11-96
N3-RT11-98,SeuratProject,160497,6376,12,N3,2,thoracic 11,thoracic,NP3,N3-RT11-98
N3-RT11-99,SeuratProject,134333,6932,12,N3,2,thoracic 11,thoracic,NP3,N3-RT11-99
N3-RT11-100,SeuratProject,144198,5388,11,N3,2,thoracic 11,thoracic,Ad.LTMR,N3-RT11-100
N3-RT11-101,SeuratProject,475635,12573,5,N3,2,thoracic 11,thoracic,Ab.LTMR,N3-RT11-101
N3-RT11-102,SeuratProject,464907,12554,9,N3,2,thoracic 11,thoracic,PEP1.13,N3-RT11-102
N3-RT11-103,SeuratProject,291555,11547,8,N3,2,thoracic 11,thoracic,PEP.H4,N3-RT11-103
N3-RT11-104,SeuratProject,141782,5884,14,N3,2,thoracic 11,thoracic,PEP3,N3-RT11-104
N3-RT11-105,SeuratProject,631092,10488,13,N3,2,thoracic 11,thoracic,Ad.LTMR,N3-RT11-105
N3-RT11-106,SeuratProject,280026,8149,6,N3,2,thoracic 11,thoracic,PEP.H5,N3-RT11-106
N3-RT11-107,SeuratProject,512205,12240,8,N3,2,thoracic 11,thoracic,PEP.H4,N3-RT11-107
N3-RT11-108,SeuratProject,211409,7348,4,N3,2,thoracic 11,thoracic,PEP.H8,N3-RT11-108
N3-RT11-109,SeuratProject,171113,9032,6,N3,2,thoracic 11,thoracic,PEP.H5,N3-RT11-109
N3-RT11-110,SeuratProject,288188,12203,10,N3,2,thoracic 11,thoracic,NP1,N3-RT11-110
N3-RT11-111,SeuratProject,420146,13016,8,N3,2,thoracic 11,thoracic,PEP.H4,N3-RT11-111
N3-RT11-112,SeuratProject,159534,7360,5,N3,2,thoracic 11,thoracic,Ab.LTMR,N3-RT11-112
N3-RT11-114,SeuratProject,132982,8044,12,N3,2,thoracic 11,thoracic,NP3,N3-RT11-114
N3-RT11-115,SeuratProject,112928,6675,6,N3,2,thoracic 11,thoracic,PEP.H5,N3-RT11-115
N3-RT11-116,SeuratProject,131388,9012,5,N3,2,thoracic 11,thoracic,Ab.LTMR,N3-RT11-116
N3-RT11-117,SeuratProject,112308,7118,6,N3,2,thoracic 11,thoracic,PEP.H5,N3-RT11-117
N3-RT11-118,SeuratProject,130115,8305,16,N3,2,thoracic 11,thoracic,NP2,N3-RT11-118
N3-RT11-119,SeuratProject,161907,8416,4,N3,2,thoracic 11,thoracic,PEP.H8,N3-RT11-119
N3-RT11-120,SeuratProject,154928,7789,6,N3,2,thoracic 11,thoracic,PEP.H5,N3-RT11-120
N3-RT11-122,SeuratProject,166393,9562,7,N3,2,thoracic 11,thoracic,Ab.LTMR,N3-RT11-122
N3-RT11-124,SeuratProject,42891,5799,1,N3,2,thoracic 11,thoracic,NP1,N3-RT11-124
N3-RT11-125,SeuratProject,168541,7971,14,N3,2,thoracic 11,thoracic,PEP3,N3-RT11-125
N3-RT11-126,SeuratProject,158741,8303,0,N3,2,thoracic 11,thoracic,Un.Gi,N3-RT11-126
N3-RT11-127,SeuratProject,123632,7999,1,N3,2,thoracic 11,thoracic,NP1,N3-RT11-127
N3-RT11-128,SeuratProject,138228,7734,3,N3,2,thoracic 11,thoracic,TRPM8,N3-RT11-128
N3-RT11-129,SeuratProject,202415,9673,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-129
N3-RT11-130,SeuratProject,141535,8728,11,N3,3,thoracic 11,thoracic,Ad.LTMR,N3-RT11-130
N3-RT11-131,SeuratProject,263382,12413,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-131
N3-RT11-132,SeuratProject,87207,6456,11,N3,3,thoracic 11,thoracic,Ad.LTMR,N3-RT11-132
N3-RT11-133,SeuratProject,60445,5623,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-133
N3-RT11-135,SeuratProject,78137,7118,11,N3,3,thoracic 11,thoracic,Ad.LTMR,N3-RT11-135
N3-RT11-136,SeuratProject,94118,8161,5,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-136
N3-RT11-137,SeuratProject,80534,6773,6,N3,3,thoracic 11,thoracic,PEP.H5,N3-RT11-137
N3-RT11-138,SeuratProject,64141,6475,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-138
N3-RT11-139,SeuratProject,80754,5643,6,N3,3,thoracic 11,thoracic,PEP.H5,N3-RT11-139
N3-RT11-140,SeuratProject,218188,11454,15,N3,3,thoracic 11,thoracic,PEP.H4.15,N3-RT11-140
N3-RT11-141,SeuratProject,85332,7078,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-141
N3-RT11-143,SeuratProject,54049,5331,1,N3,3,thoracic 11,thoracic,NP1,N3-RT11-143
N3-RT11-144,SeuratProject,167608,11316,15,N3,3,thoracic 11,thoracic,PEP.H4.15,N3-RT11-144
N3-RT11-145,SeuratProject,75419,7395,10,N3,3,thoracic 11,thoracic,NP1,N3-RT11-145
N3-RT11-146,SeuratProject,76511,6640,9,N3,3,thoracic 11,thoracic,PEP1.13,N3-RT11-146
N3-RT11-147,SeuratProject,294063,12026,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-147
N3-RT11-148,SeuratProject,98520,6005,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-148
N3-RT11-149,SeuratProject,89932,6569,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-149
N3-RT11-150,SeuratProject,274058,12471,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-150
N3-RT11-151,SeuratProject,203028,10299,5,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-151
N3-RT11-152,SeuratProject,278896,11962,5,N3,3,thoracic 11,thoracic,Un.Gi,N3-RT11-152
N3-RT11-153,SeuratProject,279772,11958,6,N3,3,thoracic 11,thoracic,PEP.H5,N3-RT11-153
N3-RT11-154,SeuratProject,304455,11417,5,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-154
N3-RT11-155,SeuratProject,70000,8009,0,N3,3,thoracic 11,thoracic,Propr,N3-RT11-155
N3-RT11-156,SeuratProject,226918,9232,7,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-156
N3-RT11-157,SeuratProject,84832,6109,7,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-157
N3-RT11-159,SeuratProject,129442,7911,5,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-159
N3-RT11-160,SeuratProject,53789,5036,3,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-160
N3-RT11-161,SeuratProject,296182,10725,4,N3,3,thoracic 11,thoracic,PEP.H8,N3-RT11-161
N3-RT11-162,SeuratProject,98705,6151,5,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-162
N3-RT11-163,SeuratProject,126683,5571,3,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-163
N3-RT11-164,SeuratProject,126267,5226,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-164
N3-RT11-165,SeuratProject,341446,11527,14,N3,3,thoracic 11,thoracic,PEP3,N3-RT11-165
N3-RT11-166,SeuratProject,116909,4675,0,N3,3,thoracic 11,thoracic,Propr,N3-RT11-166
N3-RT11-167,SeuratProject,100039,5004,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-167
N3-RT11-168,SeuratProject,279353,11361,4,N3,3,thoracic 11,thoracic,PEP.H8,N3-RT11-168
N3-RT11-170,SeuratProject,143548,9812,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-170
N3-RT11-171,SeuratProject,132721,7679,0,N3,3,thoracic 11,thoracic,Propr,N3-RT11-171
N3-RT11-172,SeuratProject,130002,7187,13,N3,3,thoracic 11,thoracic,Ad.LTMR,N3-RT11-172
N3-RT11-173,SeuratProject,115191,5351,9,N3,3,thoracic 11,thoracic,PEP1.13,N3-RT11-173
N3-RT11-174,SeuratProject,128349,5192,2,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-174
N3-RT11-175,SeuratProject,85950,5993,4,N3,3,thoracic 11,thoracic,PEP.H8,N3-RT11-175
N3-RT11-176,SeuratProject,90341,3237,3,N3,3,thoracic 11,thoracic,PEP.H0,N3-RT11-176
N3-RT11-177,SeuratProject,158155,10297,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-177
N3-RT11-178,SeuratProject,71806,5322,9,N3,3,thoracic 11,thoracic,PEP1.13,N3-RT11-178
N3-RT11-179,SeuratProject,124856,5755,5,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-179
N3-RT11-180,SeuratProject,167986,9707,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-180
N3-RT11-181,SeuratProject,139186,5918,7,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-181
N3-RT11-182,SeuratProject,90153,3463,3,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-182
N3-RT11-183,SeuratProject,81447,6131,6,N3,3,thoracic 11,thoracic,PEP.H5,N3-RT11-183
N3-RT11-184,SeuratProject,276292,11479,8,N3,3,thoracic 11,thoracic,PEP.H4,N3-RT11-184
N3-RT11-185,SeuratProject,78312,6223,1,N3,3,thoracic 11,thoracic,NP1,N3-RT11-185
N3-RT11-186,SeuratProject,214293,10757,10,N3,3,thoracic 11,thoracic,NP1,N3-RT11-186
N3-RT11-187,SeuratProject,211854,10733,13,N3,3,thoracic 11,thoracic,Ad.LTMR,N3-RT11-187
N3-RT11-188,SeuratProject,53253,4571,7,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-188
N3-RT11-189,SeuratProject,122663,7899,7,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-189
N3-RT11-190,SeuratProject,141104,8271,7,N3,3,thoracic 11,thoracic,Ab.LTMR,N3-RT11-190
N3-RT11-191,SeuratProject,104404,8221,18,N3,3,thoracic 11,thoracic,Un.Gi,N3-RT11-191
N3-RT11-192,SeuratProject,188188,10215,13,N3,3,thoracic 11,thoracic,Ad.LTMR,N3-RT11-192
N4-RL3-1,SeuratProject,180048,11956,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-1
N4-RL3-2,SeuratProject,84277,6717,9,N4,2,lumbar 3,lumbar,PEP1.13,N4-RL3-2
N4-RL3-3,SeuratProject,486736,13232,4,N4,2,lumbar 3,lumbar,PEP.H8,N4-RL3-3
N4-RL3-4,SeuratProject,114340,4562,4,N4,2,lumbar 3,lumbar,PEP.H8,N4-RL3-4
N4-RL3-5,SeuratProject,93725,6475,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-5
N4-RL3-6,SeuratProject,75833,5929,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-6
N4-RL3-7,SeuratProject,163195,9555,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-7
N4-RL3-8,SeuratProject,108380,7808,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-8
N4-RL3-9,SeuratProject,142931,7324,17,N4,2,lumbar 3,lumbar,C.LTMR,N4-RL3-9
N4-RL3-10,SeuratProject,86134,7053,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-10
N4-RL3-11,SeuratProject,168070,9631,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-11
N4-RL3-12,SeuratProject,120340,8121,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-12
N4-RL3-13,SeuratProject,113949,7336,11,N4,2,lumbar 3,lumbar,Ad.LTMR,N4-RL3-13
N4-RL3-14,SeuratProject,77021,5818,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-14
N4-RL3-15,SeuratProject,233418,10311,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-15
N4-RL3-16,SeuratProject,124336,7947,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-16
N4-RL3-17,SeuratProject,181201,9430,16,N4,2,lumbar 3,lumbar,NP2,N4-RL3-17
N4-RL3-18,SeuratProject,161903,9387,0,N4,2,lumbar 3,lumbar,Propr,N4-RL3-18
N4-RL3-19,SeuratProject,298832,11880,15,N4,2,lumbar 3,lumbar,PEP.H4.15,N4-RL3-19
N4-RL3-20,SeuratProject,238936,10600,14,N4,2,lumbar 3,lumbar,PEP3,N4-RL3-20
N4-RL3-21,SeuratProject,84482,4970,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-21
N4-RL3-22,SeuratProject,100837,7576,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-22
N4-RL3-23,SeuratProject,139680,7377,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-23
N4-RL3-24,SeuratProject,146809,8773,10,N4,2,lumbar 3,lumbar,NP1,N4-RL3-24
N4-RL3-25,SeuratProject,97616,6676,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-25
N4-RL3-26,SeuratProject,104319,7058,14,N4,2,lumbar 3,lumbar,PEP3,N4-RL3-26
N4-RL3-27,SeuratProject,140878,5951,7,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-27
N4-RL3-28,SeuratProject,295137,10118,5,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-28
N4-RL3-29,SeuratProject,102067,5395,3,N4,2,lumbar 3,lumbar,TRPM8,N4-RL3-29
N4-RL3-30,SeuratProject,185626,8998,5,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-30
N4-RL3-31,SeuratProject,147351,7884,5,N4,2,lumbar 3,lumbar,Ab.LTMR,N4-RL3-31
N4-RL3-32,SeuratProject,323563,11869,8,N4,2,lumbar 3,lumbar,PEP.H4,N4-RL3-32
N4-RL3-33,SeuratProject,101310,6500,1,N4,2,lumbar 3,lumbar,NP1,N4-RL3-33
N4-RL3-34,SeuratProject,78145,5355,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-34
N4-RL3-35,SeuratProject,119005,6365,2,N4,2,lumbar 3,lumbar,PEP.H0,N4-RL3-35
