,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
N2-RL5-122,SeuratProject,391674,12969,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-122
N2-RL5-124,SeuratProject,136829,8873,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-124
N2-RL5-125,SeuratProject,103057,6558,2,N2,2,lumbar 5,lumbar,PEP.H0,N2-RL5-125
N2-RL5-126,SeuratProject,148420,9255,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-126
N2-RL5-127,SeuratProject,167238,9720,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-127
N2-RL5-128,SeuratProject,210443,10338,5,N2,2,lumbar 5,lumbar,Ab.LTMR,N2-RL5-128
N2-RL5-130,SeuratProject,147895,8482,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-130
N2-RL5-131,SeuratProject,95416,7057,4,N2,3,lumbar 5,lumbar,PEP.H8,N2-RL5-131
N2-RL5-132,SeuratProject,123495,8736,9,N2,3,lumbar 5,lumbar,PEP1.13,N2-RL5-132
N2-RL5-135,SeuratProject,101005,7102,2,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-135
N2-RL5-136,SeuratProject,100184,7341,6,N2,3,lumbar 5,lumbar,PEP.H5,N2-RL5-136
N2-RL5-137,SeuratProject,155637,9045,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-137
N2-RL5-139,SeuratProject,94054,8337,8,N2,3,lumbar 5,lumbar,PEP.H4,N2-RL5-139
N2-RL5-140,SeuratProject,73832,6729,9,N2,3,lumbar 5,lumbar,PEP1.13,N2-RL5-140
N2-RL5-141,SeuratProject,153050,8246,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-141
N2-RL5-143,SeuratProject,214036,10829,5,N2,3,lumbar 5,lumbar,Ab.LTMR,N2-RL5-143
N2-RL5-144,SeuratProject,121064,8247,2,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-144
N2-RL5-145,SeuratProject,128414,7746,13,N2,3,lumbar 5,lumbar,Ad.LTMR,N2-RL5-145
N2-RL5-146,SeuratProject,140675,9085,2,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-146
N2-RL5-147,SeuratProject,160273,8765,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-147
N2-RL5-148,SeuratProject,260484,7220,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-148
N2-RL5-149,SeuratProject,317041,11407,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-149
N2-RL5-150,SeuratProject,198669,7352,0,N2,3,lumbar 5,lumbar,Propr,N2-RL5-150
N2-RL5-151,SeuratProject,219631,5683,14,N2,3,lumbar 5,lumbar,PEP3,N2-RL5-151
N2-RL5-152,SeuratProject,429508,12060,5,N2,3,lumbar 5,lumbar,Ab.LTMR,N2-RL5-152
N2-RL5-153,SeuratProject,102864,4902,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-153
N2-RL5-154,SeuratProject,135133,6951,2,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-154
N2-RL5-155,SeuratProject,147881,9385,10,N2,3,lumbar 5,lumbar,NP1,N2-RL5-155
N2-RL5-156,SeuratProject,160149,5355,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-156
N2-RL5-157,SeuratProject,156032,4961,3,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-157
N2-RL5-158,SeuratProject,232273,10930,8,N2,3,lumbar 5,lumbar,PEP.H4,N2-RL5-158
N2-RL5-159,SeuratProject,166761,6197,2,N2,3,lumbar 5,lumbar,PEP.H0,N2-RL5-159
